Datetime,Average_Receive_bps,Average_Transmit_bps
2023-06-24 18:10:00,183201456.0,13227500.0
2023-06-24 18:15:00,183201456.0,13227500.0
2023-06-24 18:20:00,160849776.0,14576616.0
2023-06-24 18:25:00,160849776.0,14576616.0
2023-06-24 18:30:00,189099072.0,12214349.0
2023-06-24 18:35:00,189099072.0,12214349.0
2023-06-24 18:40:00,184854784.0,10750021.0
2023-06-24 18:45:00,184854784.0,10750021.0
2023-06-24 18:50:00,167388880.0,7456850.0
2023-06-24 18:55:00,167388880.0,7456850.0
2023-06-24 19:00:00,152145216.0,8197737.0
2023-06-24 19:05:00,152145216.0,8197737.0
2023-06-24 19:10:00,236988832.0,14009500.0
2023-06-24 19:15:00,236988832.0,14009500.0
2023-06-24 19:20:00,246913632.0,10180836.0
2023-06-24 19:25:00,246913632.0,10180836.0
2023-06-24 19:30:00,261371472.0,9941846.0
2023-06-24 19:35:00,261371472.0,9941846.0
2023-06-24 19:40:00,216665616.0,12563403.0
2023-06-24 19:45:00,216665616.0,12563403.0
2023-06-24 19:50:00,236968464.0,15236382.0
2023-06-24 19:55:00,236968464.0,15236382.0
2023-06-24 20:00:00,239932192.0,11873303.0
2023-06-24 20:05:00,239932192.0,11873303.0
2023-06-24 20:10:00,299586304.0,14886167.0
2023-06-24 20:15:00,299586304.0,14886167.0
2023-06-24 20:20:00,227108400.0,14628782.0
2023-06-24 20:25:00,227108400.0,14628782.0
2023-06-24 20:30:00,270354016.0,16944226.0
2023-06-24 20:35:00,270354016.0,16944226.0
2023-06-24 20:40:00,135886880.0,14479497.0
2023-06-24 20:45:00,135886880.0,14479497.0
2023-06-24 20:50:00,80221336.0,13384547.0
2023-06-24 20:55:00,80221336.0,13384547.0
2023-06-24 21:00:00,85718848.0,18419894.0
2023-06-24 21:05:00,85718848.0,18419894.0
2023-06-24 21:10:00,202953056.0,22632000.0
2023-06-24 21:15:00,202953056.0,22632000.0
2023-06-24 21:20:00,339707296.0,52888772.0
2023-06-24 21:25:00,339707296.0,52888772.0
2023-06-24 21:30:00,339597728.0,80102512.0
2023-06-24 21:35:00,339597728.0,80102512.0
2023-06-24 21:40:00,339427264.0,81331144.0
2023-06-24 21:45:00,339427264.0,81331144.0
2023-06-24 21:50:00,208076672.0,35224916.0
2023-06-24 21:55:00,208076672.0,35224916.0
2023-06-24 22:00:00,339620640.0,59458444.0
2023-06-24 22:05:00,339620640.0,59458444.0
2023-06-24 22:10:00,339351168.0,60942488.0
2023-06-24 22:15:00,339351168.0,60942488.0
2023-06-24 22:20:00,339163264.0,58581468.0
2023-06-24 22:25:00,339163264.0,58581468.0
2023-06-24 22:30:00,339423296.0,68919520.0
2023-06-24 22:35:00,339423296.0,68919520.0
2023-06-24 22:40:00,339151584.0,59028548.0
2023-06-24 22:45:00,339151584.0,59028548.0
2023-06-24 22:50:00,339054464.0,44522988.0
2023-06-24 22:55:00,339054464.0,44522988.0
2023-06-24 23:00:00,338713120.0,41447816.0
2023-06-24 23:05:00,338713120.0,41447816.0
2023-06-24 23:10:00,338340992.0,41504860.0
2023-06-24 23:15:00,338340992.0,41504860.0
2023-06-24 23:20:00,339335104.0,39515352.0
2023-06-24 23:25:00,339335104.0,39515352.0
2023-06-24 23:30:00,338197248.0,44125108.0
2023-06-24 23:35:00,338197248.0,44125108.0
2023-06-24 23:40:00,339185888.0,38892616.0
2023-06-24 23:45:00,339185888.0,38892616.0
2023-06-24 23:50:00,338133664.0,41271392.0
2023-06-24 23:55:00,338133664.0,41271392.0
2023-06-25 00:00:00,338936160.0,43058656.0
2023-06-25 00:05:00,338936160.0,43058656.0
2023-06-25 00:10:00,338727104.0,46091828.0
2023-06-25 00:15:00,338727104.0,46091828.0
2023-06-25 00:20:00,337780480.0,37480028.0
2023-06-25 00:25:00,337780480.0,37480028.0
2023-06-25 00:30:00,337688320.0,36744276.0
2023-06-25 00:35:00,337688320.0,36744276.0
2023-06-25 00:40:00,335835456.0,41972652.0
2023-06-25 00:45:00,335835456.0,41972652.0
2023-06-25 00:50:00,339409248.0,39674916.0
2023-06-25 00:55:00,339409248.0,39674916.0
2023-06-25 01:00:00,338436384.0,36075440.0
2023-06-25 01:05:00,338436384.0,36075440.0
2023-06-25 01:10:00,338610368.0,39257176.0
2023-06-25 01:15:00,338610368.0,39257176.0
2023-06-25 01:20:00,337826848.0,39451840.0
2023-06-25 01:25:00,337826848.0,39451840.0
2023-06-25 01:30:00,338673696.0,39384720.0
2023-06-25 01:35:00,338673696.0,39384720.0
2023-06-25 01:40:00,338453184.0,41155408.0
2023-06-25 01:45:00,338453184.0,41155408.0
2023-06-25 01:50:00,338763104.0,42674200.0
2023-06-25 01:55:00,338763104.0,42674200.0
2023-06-25 02:00:00,338240160.0,49449124.0
2023-06-25 02:05:00,338240160.0,49449124.0
2023-06-25 02:10:00,338644608.0,54591480.0
2023-06-25 02:15:00,338644608.0,54591480.0
2023-06-25 02:20:00,338697952.0,53939648.0
2023-06-25 02:25:00,338697952.0,53939648.0
2023-06-25 02:30:00,339005888.0,47174436.0
2023-06-25 02:35:00,339005888.0,47174436.0
2023-06-25 02:40:00,338686720.0,51110784.0
2023-06-25 02:45:00,338686720.0,51110784.0
2023-06-25 02:50:00,338503072.0,59092308.0
2023-06-25 02:55:00,338503072.0,59092308.0
